text	tags
gp3の飽和監視で BurstBalance を使うのは誤り。{{c1::BurstBalance は gp2/st1/sc1 専用でgp3には存在しない}}ため、代わりに {{c2::VolumeQueueLength}} と ReadOps+WriteOps の数式で飽和を見る。	EBS H1 層2
ボリューム変更の完了検知に CloudWatchメトリクスのポーリングを却下し {{c1::EventBridge の EBS Volume Modification イベント(result=completed)}} を使う。理由は modify-volume が即時でなく {{c2::optimizing}} 状態を経るため。	EBS H2 層2
RAID0構成のバックアップで個別ボリュームのスナップショットを却下し {{c1::instance単位のマルチボリュームスナップショット}} を使う。理由は個別だと取得時刻ズレで {{c2::クラッシュ不整合}} になるため。	EBS H3 層2
EBSのボリュームメトリクスにCWエージェントは{{c1::不要}}。{{c2::AWS/EBS}} 名前空間へ自動送出される（既定粒度は5分）。	EBS H1
IOPSアラームの数式で固定の60/300で割らず {{c1::PERIOD()}} 関数で割る。理由はEBSメトリクス粒度に依存せず IOPS へ正規化するため。	EBS H1 層2
gp3でIOPS上限に達してもスループット上限に達しないことがある。{{c1::ブロックサイズが小さい}}(16kランダム)とIOPS上限に先に当たり、{{c2::大ブロック(2048k順次)}}ではスループット上限に当たる。	EBS 性能
スナップショットからの復元でボリュームタイプを指定しないと既定 {{c1::gp2}} になり、元の {{c2::gp3}} と性能特性が変わる（復元の罠）。	EBS H3 復元
RAID {{c1::0}} は両ボリュームを同時利用しIOPS/スループットが約2倍になるが、{{c2::1本でも壊れると全損}}＝バックアップRPOが命。	EBS RAID 層3
オンライン変更後にファイルシステムが拡張されないので {{c1::xfs_growfs}} で拡張する（変更だけではdf -hは増えない）。	EBS H2
ボリュームは {{c1::24時間に1回}} しか変更できない＝検証時の再変更失敗・一括変更運用の制約。	EBS H2 層7
